trial,max_depth,min_child_weight,learning_rate,reg_lambda,reg_alpha,gamma,subsample,colsample_bytree,cv_balanced_acc,cv_acc,cv_ht_recall,cv_wt_recall,cv_ht_precision,cv_wt_precision,cv_best_iter
139,7,12,0.02,0.5,1.0,2.0,0.8,0.5,0.7262092114158203,0.6605642271724744,0.836187625758431,0.6162307970732094,0.4164359727618949,0.9130083597186264,5.6
83,8,2,0.08,3.0,1.0,0.0,0.6,0.7,0.7260461629252056,0.6708406733834961,0.824460293993825,0.6276320318565863,0.4199188946988204,0.9097205145345617,4.0
118,8,5,0.02,0.5,1.0,1.0,0.6,0.8,0.7247110664037816,0.674623375144993,0.8168542274409649,0.6325679053665983,0.4213346340764734,0.9116138082511795,12.2
78,6,1,0.1,10.0,2.0,2.0,0.7,0.5,0.7243910455128445,0.6657913872505004,0.8277542216251964,0.6210278694004925,0.42098171354041564,0.917106843351001,17.4
40,8,3,0.05,1.0,1.0,4.0,0.6,0.8,0.7230613329469444,0.6770855290888764,0.8094596551481192,0.6366630107457698,0.42244042214336763,0.908587614408666,9.2
168,6,2,0.15,3.0,0.0,0.1,0.8,0.5,0.7222925652807279,0.6686188441653297,0.816245393601297,0.628339736960159,0.4302155131149089,0.9177849956395656,19.0
147,6,20,0.03,0.5,2.0,0.5,1.0,0.5,0.7210870031044656,0.6719488687147369,0.8383572745159856,0.6038167316929456,0.4111331957291034,0.9482790589552194,8.0
140,8,5,0.15,1.0,0.05,2.0,0.8,0.6,0.7196382658646288,0.668133526159665,0.7923643258533499,0.6469122058759076,0.42903226968771796,0.890465846766776,16.2
135,8,5,0.02,6.0,0.05,0.0,0.7,0.7,0.7192187441604485,0.6622692701560569,0.8190797760224549,0.6193577122984422,0.41180811341180223,0.9094938411767439,3.4
153,5,12,0.02,3.0,2.0,2.0,0.6,0.5,0.7182444521674098,0.6656726379097961,0.8432208847604356,0.593268019574384,0.4039057879839487,0.9529543627067902,7.6
69,7,1,0.08,1.0,1.0,0.0,0.8,0.5,0.7176323263881701,0.6749470110184586,0.7887929912028693,0.6464716615734709,0.4306447657325688,0.90505573557178,25.6
8,6,2,0.08,1.0,2.0,4.0,0.7,0.8,0.7167805370888748,0.67372607700042,0.8196899489915792,0.6138711251861704,0.4087894307228514,0.9350384102097076,1.4
122,7,12,0.1,10.0,2.0,1.0,0.8,0.5,0.714584467584107,0.6577442597702002,0.8214586571028935,0.6077102780653204,0.4090745781143606,0.9205043795291807,4.8
67,4,2,0.15,1.0,0.2,0.0,0.9,0.6,0.7145471469393023,0.6807041249001894,0.8089009470557722,0.6201933468228324,0.4109437860019646,0.9508550425301218,68.4
128,6,8,0.05,1.5,0.0,4.0,0.7,0.6,0.7144955134496145,0.6729782871651959,0.8240235571421873,0.6049674697570417,0.40594934254349624,0.9493829333923104,3.8
48,7,5,0.03,0.5,0.5,2.0,0.9,0.5,0.7131221234142402,0.6592097245666473,0.7990228067367214,0.6272214400917592,0.41576623256276435,0.8978576876673274,33.4
103,8,5,0.03,10.0,0.05,0.1,0.7,0.7,0.7129371007103744,0.6591388782530115,0.8058180348708411,0.6200561665499077,0.4075609465189253,0.9030559523443774,2.8
131,8,20,0.02,6.0,2.0,1.0,0.9,0.6,0.7128315022967221,0.6592219687993937,0.8174708929590471,0.6081921116343969,0.40645111920096727,0.9205817632833313,1.6
62,5,2,0.02,6.0,1.0,1.0,0.7,0.5,0.7107616775814415,0.6629526350572422,0.8180377350636302,0.6034856200992529,0.4028292408710902,0.932808811133382,11.0
49,8,12,0.08,1.5,0.5,0.1,0.7,0.7,0.7104219326525595,0.6665725468473289,0.8024789041410093,0.6183649611641097,0.40888466016538905,0.9182977723390982,5.0
89,6,8,0.03,3.0,0.5,0.1,0.7,0.8,0.7099918185850094,0.6649584519496515,0.8083348633742968,0.611648773795722,0.403194243056463,0.9220868860668796,2.8
63,6,3,0.08,3.0,0.05,0.5,0.9,0.5,0.7092631545848574,0.6595259897040184,0.7959699152144907,0.6225563939552241,0.41627012835894794,0.9083888995779006,32.2
53,8,20,0.05,3.0,1.0,0.1,0.9,0.6,0.7084555225083118,0.6560620248870762,0.8096823975182952,0.6072286474983284,0.403829397817299,0.9156476275560917,9.0
184,6,3,0.05,0.5,1.0,0.0,0.7,0.5,0.7079919028908532,0.6602988921597744,0.806945929746966,0.6090378760347404,0.40408224356901296,0.9203172957452841,4.4
161,4,20,0.1,0.5,0.0,0.5,0.8,1.0,0.7079433570294571,0.670026390626377,0.7975793322070334,0.6183073818518807,0.3986579764248489,0.9295678305442469,4.2
126,8,2,0.15,3.0,0.2,1.0,0.6,0.8,0.7078444520208302,0.6797081191907791,0.769168956390653,0.6465199476510074,0.41686120936989457,0.90091260934931,8.4
31,5,2,0.05,1.5,0.5,1.0,0.6,0.5,0.707291085952488,0.6744073327323978,0.7983014683839228,0.6162807035210532,0.4071853402091067,0.9356314954384294,37.6
51,6,2,0.15,10.0,0.2,1.0,1.0,0.5,0.707051828667777,0.6600015483775452,0.8006281088005551,0.6134755485349992,0.4131162992856502,0.9212912114471801,19.4
75,6,1,0.08,1.5,1.0,1.0,1.0,0.5,0.7069984231697269,0.667872390834649,0.7972783237242125,0.6167185226152414,0.4133003038891004,0.9238881822054437,10.6
197,6,2,0.15,6.0,0.0,0.0,1.0,0.5,0.7068564012634094,0.660147142504834,0.8058833864408188,0.6078294160860003,0.4078254525372541,0.9253534923559217,7.2
105,8,20,0.03,1.5,0.0,2.0,1.0,0.8,0.7063424510487295,0.6703670759821477,0.782441165238074,0.630243736859385,0.4154600029034742,0.9133527028833512,44.0
9,8,8,0.03,1.0,0.5,0.1,0.7,0.8,0.7051615176994851,0.6682328815630811,0.7833777924862564,0.6269452429127138,0.4114256041254973,0.9088771800368537,30.2
12,7,1,0.1,6.0,0.0,0.0,0.6,0.5,0.7049727061466412,0.6612352247008053,0.7957361959137094,0.6142092163795732,0.40680773922074903,0.9164518922084393,2.8
113,8,20,0.15,1.5,1.0,0.0,0.7,0.8,0.7049452325265018,0.661763038584273,0.7793084003637976,0.6305820646892064,0.41868285293164914,0.9000100706573978,18.0
74,8,20,0.08,1.5,0.05,2.0,1.0,0.7,0.7047776477533662,0.6610196864812574,0.7846516803286826,0.6249036151780497,0.41369605828565537,0.9075979653443061,17.6
146,6,5,0.08,3.0,1.0,2.0,0.7,0.5,0.7043427439085932,0.6658711655356023,0.7930989833877483,0.6155865044294381,0.40402120446434164,0.9224775809094234,3.2
29,6,2,0.15,10.0,0.2,0.0,0.6,0.8,0.7037160327763425,0.6808321462703473,0.7718467811133276,0.6355852844393575,0.40775731672450055,0.9150834779262407,15.4
92,8,3,0.1,10.0,0.05,0.5,1.0,0.5,0.7034082331800742,0.6624193927944871,0.7741890107121469,0.6326274556480015,0.41661753508892,0.9010463571567783,15.4
176,8,2,0.15,1.0,0.5,4.0,0.8,0.5,0.7028131249845762,0.6708042247372907,0.7598595469035396,0.6457667030656127,0.4190711464132681,0.8985123328002848,8.6
148,8,3,0.02,10.0,1.0,2.0,0.7,0.8,0.7017120997493088,0.6646338264744417,0.7824637427343786,0.620960456764239,0.4040137942656011,0.9103656394683444,11.0
2,8,12,0.03,3.0,1.0,0.0,0.9,0.6,0.6997295777852384,0.662621377530579,0.7789098901626128,0.620549265407864,0.408463777838025,0.9091545198395569,15.8
109,5,3,0.05,6.0,0.05,2.0,0.7,0.7,0.698975843769888,0.6686925743468091,0.790080856956353,0.6078708305834227,0.39478855015692615,0.937886490809287,4.4
191,7,3,0.03,3.0,0.0,1.0,1.0,0.5,0.6986147030654932,0.6604748252585486,0.7795346035605495,0.6176948025704372,0.408812495423989,0.9104046891766648,19.6
194,5,20,0.15,3.0,1.0,4.0,0.6,1.0,0.6985904160489795,0.6692162689962349,0.7625351993492278,0.6346456327487313,0.3985414136664457,0.912434362552785,29.0
173,8,2,0.08,6.0,0.05,4.0,1.0,0.7,0.6977973102371463,0.6610119964004284,0.7697754884340567,0.6258191320402359,0.40657598601325395,0.9007200142924472,4.0
150,7,1,0.03,3.0,0.0,2.0,0.7,0.5,0.6972154807624532,0.6643915258905151,0.7622005804076339,0.6322303811172724,0.41276472184092194,0.9006257604939514,28.8
106,4,1,0.03,0.5,0.5,1.0,1.0,0.6,0.6964882982622026,0.6658662112004976,0.772065440579547,0.620911155944858,0.39356268044554116,0.9250758441489786,2.6
94,8,1,0.03,0.5,0.2,2.0,0.7,0.5,0.6962073018172678,0.6680299097840765,0.7452696748510846,0.6471449287834508,0.4137781792647469,0.8919974985263822,14.0
95,8,3,0.05,0.5,1.0,0.0,0.7,0.5,0.6958917696792055,0.6684148231109266,0.7493061779192804,0.6424773614391308,0.40598604352765344,0.8934384193907752,6.6
