trial,max_depth,min_child_weight,learning_rate,reg_lambda,reg_alpha,gamma,subsample,colsample_bytree,cv_balanced_acc,cv_acc,cv_ht_recall,cv_wt_recall,cv_ht_precision,cv_wt_precision,cv_best_iter
139,7,12,0.02,0.5,1.0,2.0,0.8,0.5,0.810789740711112,0.7426445632050123,0.9453097404956863,0.6762697409265377,0.4901910073492287,0.9748348372094672,142.6
20,4,8,0.15,0.5,1.0,4.0,0.9,0.8,0.8107039379352663,0.7514707683314757,0.9276311675581581,0.6937767083123745,0.49809850141698114,0.967017867611235,103.2
19,5,8,0.08,6.0,0.2,0.5,0.9,0.6,0.8106506134966303,0.7507593369578976,0.9288699605377679,0.6924312664554926,0.4978413589778724,0.9679529181733623,112.6
1,5,8,0.08,1.5,2.0,2.0,0.7,0.8,0.8105881896670054,0.7348321452130949,0.9601228652791509,0.66105351405486,0.4815801080489458,0.9807877313984534,34.8
149,8,20,0.02,0.5,2.0,0.5,1.0,0.5,0.8105751813677056,0.7387924087915753,0.952289569971523,0.6688607927638883,0.48585438003994774,0.9774948901683622,94.4
21,6,5,0.08,10.0,2.0,0.5,0.7,0.8,0.8105453802299809,0.7645549102966648,0.9013241395627889,0.7197666208971727,0.5139859236175178,0.9577087146219346,124.6
113,8,20,0.15,1.5,1.0,0.0,0.7,0.8,0.8105020687773425,0.7630325315451326,0.9042031079676528,0.7168010295870323,0.5122569428431685,0.9589759138452759,37.4
68,7,2,0.1,1.5,1.0,1.0,0.6,1.0,0.8105018112507253,0.7626284471695569,0.9050084079059667,0.7159952145954838,0.5120335008450533,0.9590818683859357,46.4
124,5,5,0.15,10.0,0.0,4.0,0.8,0.5,0.8104924602470917,0.7440646987814178,0.941616176980083,0.6793687435141001,0.4908447693437331,0.9729569360683115,57.6
184,6,3,0.05,0.5,1.0,0.0,0.7,0.5,0.8104500539320683,0.7540043099589072,0.9218732307484305,0.6990268771157062,0.5024772646563346,0.9653896461013476,111.6
69,7,1,0.08,1.0,1.0,0.0,0.8,0.5,0.8104033348629948,0.7605981457297136,0.9087197167507457,0.7120869529752436,0.5104491744613183,0.9606944331039653,56.0
